customer_id,first_name,last_name,email,signup_date,city,state
C00001,CustFN1,123abc,NULL,not_a_date,,NULL
C00002,nan,CustLN2,customer2@example.com, ,Delhi,null
123abc,null,null,customer3@example.com,123abc,@@@,Maharashtra
C00004,CustFN4,CustLN4,N/A,N/A,invalid,Telangana
C00005,CustFN5,CustLN5,customer5@example.com,2024-04-02,Mumbai,Maharashtra
C00006,CustFN6, ,nan,nan,###BAD###,Telangana
9999-99-99,CustFN7,CustLN7,###BAD###,2023-07-29,32-13-2025,not_a_date
N/A,CustFN8,CustLN8,customer8@example.com,2023-06-28,Kolkata,Karnataka
C00009,CustFN9,CustLN9,N/A,123abc,,invalid
C00010,CustFN10,CustLN10,customer10@example.com,NULL,Noida,Telangana
C00011,CustFN11,CustLN11,customer11@example.com,2023-03-03,Delhi, 
NULL,CustFN12,,customer12@example.com, ,Kolkata,Uttar Pradesh
C00013,CustFN13,CustLN13,customer13@example.com,2024-03-23,Mumbai,N/A
C00014,CustFN14,CustLN14,customer14@example.com,2024-04-21,not_a_date,not_a_date
C00015,CustFN15,###BAD###,customer15@example.com,2025-10-31,Pune,Tamil Nadu
 ,CustFN16,CustLN16,customer16@example.com,N/A,Kolkata,Karnataka
C00017,CustFN17,CustLN17,,2024-02-12,not_a_date,Uttar Pradesh
32-13-2025,CustFN18,CustLN18,customer18@example.com,2025-05-09,Kolkata,Maharashtra
C00019,NULL,CustLN19,32-13-2025,2024-03-27,nan,###BAD###
C00020,123abc,null,null,123abc,Kolkata,Telangana
nan,CustFN21,CustLN21,customer21@example.com,2024-07-23,Kolkata,Karnataka
C00022,CustFN22,###BAD###,customer22@example.com,2023-01-14,###BAD###,Telangana
C00023,null,CustLN23,123abc,2023-11-23,Pune,West Bengal
@@@,CustFN24,CustLN24,customer24@example.com,2025-05-15,,Tamil Nadu
C00025,CustFN25,CustLN25,customer25@example.com,2024-11-27,Mumbai,West Bengal
C00026,not_a_date,CustLN26,customer26@example.com,2024-07-23,Chennai,Maharashtra
C00027,NULL,32-13-2025,customer27@example.com,2023-11-15,123abc,Delhi
C00028,CustFN28,CustLN28,customer28@example.com,2024-03-16,32-13-2025,
null,invalid,not_a_date,N/A, ,N/A,Maharashtra
C00030,9999-99-99,invalid,customer30@example.com,2023-07-29,Bengaluru,Delhi
C00031,CustFN31,NULL,customer31@example.com,null,9999-99-99,###BAD###
###BAD###,CustFN32,CustLN32,customer32@example.com,2025-02-17,Mumbai,Maharashtra
C00033,32-13-2025,null,customer33@example.com,123abc,Bengaluru,Tamil Nadu
C00034,32-13-2025,CustLN34,customer34@example.com,2025-01-05,nan,32-13-2025
32-13-2025,CustFN35,CustLN35,nan,NULL,123abc,Maharashtra
C00036,nan,CustLN36,customer36@example.com,2024-06-25,Kolkata,Delhi
C00037,CustFN37,9999-99-99,customer37@example.com, ,Pune,not_a_date
not_a_date,CustFN38,CustLN38,@@@,###BAD###,invalid,nan
C00039,CustFN39,,invalid,2023-09-13,Bengaluru,NULL
@@@,CustFN40,###BAD###,customer40@example.com,NULL,NULL,123abc
123abc,###BAD###,CustLN41,customer41@example.com,2023-06-11,Mumbai,###BAD###
9999-99-99,,CustLN42,customer42@example.com,2024-08-23,Bengaluru,Tamil Nadu
C00043,CustFN43,CustLN43,customer43@example.com,2025-01-10,,Maharashtra
C00044,NULL,CustLN44,nan,2024-01-29,Delhi, 
C00045,CustFN45,CustLN45,customer45@example.com,null, ,9999-99-99
C00046,CustFN46,CustLN46, ,2023-04-04,Noida,Delhi
C00047,CustFN47,CustLN47,customer47@example.com,2024-04-11,Noida,Uttar Pradesh
,###BAD###,CustLN48,123abc,2024-08-15,Pune,West Bengal
C00049,CustFN49,CustLN49,customer49@example.com,32-13-2025,NULL,West Bengal
C00050,CustFN50,32-13-2025,customer50@example.com,9999-99-99,Noida,Telangana
C00051,123abc,nan,###BAD###,,Kolkata,null
not_a_date,,9999-99-99,customer52@example.com,2025-02-17,###BAD###,123abc
nan,CustFN53,null,customer53@example.com,2024-07-23,Chennai,Tamil Nadu
